questions,answers
What is the powdery substance on the underside of my oregano leaves? Oregano Powdery substance on leaf underside Fungus (Downy mildew),Could be downy mildew. Remove the affected parts and transfer the plant to a drier location. Physically remove affected leaves
 Oregano Black spots on leaves ,Transplant to a new media 
Why otacanthus bottom leaves turn brown? Otacanthus  Browning leaves ,Start new plant from cuttings. 
Otacanthus azureus- leggy  Otacanthus azureus Elongated stem ,Prune 
"Pachira leaf curling. Yellow spot. Leaf yellowing drop  Pachira  Yellow spots, curling/dropping leaf ","Too much fungicide applied. Too much water , should follow the fungicide instruction.  "
Fungus on palm leaf Palm  Fungus,spray fungicide 
Mealybug on palm Palm Whitish furry creature Mealybug, Imidacloprid or acetamaprid or acetamaprid + chlorpyrifos 
Spidermites on leaf Palm  Spider mite,"Spider mites likes dry conditions. Keep the leaves moist by spraying water/wipe with wet cloth. Alternative, use white oil. Soapy water"
How to maintain palm? Palm  ,Increase watering 
My palm is dying. Palm Necrosis (dying) ,Not enough water. Prune off the dry leaves and water the plants 
Palm leaf with dried tissue Palm Dried tissue (fronds) ,Do not use distilled water to water. 
drying tips on dwarf palm Palm (Dwarf) Drying tips ,could be artificial lights too strong (grown indoors) 
Pandan with Mealybug Pandan Whitish furry creature Mealybug,Garlic and chilli spray. Reduce watering. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
What is the cause of Mealybug on roots? Pandan Whitish furry creature Mealybug,It might be because the soil is too wet. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
How to maintain Pandan plant Pandan  ,Water once a day 
How to make Pandan bushier? Pandan  ,Add fertilizers high in Nitrogen. 
Leaf edges yellowing and crispy on pandan plant pandan Yellow leaf edges and drying ,Increase watering 
Pandan not growing well. Yellow starts to appear. Pandan Yellowing leaves ,"Plough, increase watering, possible nutrient deficiency--apply slow release fertiliser "
Pandan turns yellow Pandan Yellowing leaves ,Loosen the soil. Increase watering 
Plant paletter for shady place and have smell Pandan  ,Pandan 
Propagation - How to propagate pandan leaves? Pandan  ,"Cut the plant at the stem, soak in water till the roots grow out and plant . "
"Smells in leaves of pandan, kaffir lime absents Pandan Not fragrant ","Micronutrients imbalance. Compost, complete fertilizer. "
 Pandan Not growing big ,lack of fertilizing. 
Papaya fruit fungus. Tree not doing well in clay soil. Papaya Fruit attacked by fungus Fungus,Amend soil in compost. 
"What to do when there are Mealybug on the Papaya? Papaya Whitish furry creature, cottony-like material on top Mealybug","Spray thoroughly and diligently; wipe off with alcohol White summer oil/ Neem Oil/ DIY diluted soap water (1 tablespoon of soap mixed with 1 L of water), use alcohol swab to remove"
Snails attack papaya. Papaya  Snail,To create a moat of beer or sulphur Snail bait; Beer trap; Snail pellet; Crush egg shells
Cultivation - How to grow a papaya? Papaya  ,"Full sun, water, fertilizer "
How to get papaya to fruit? Papaya  ,You may need male plant to attract pollinators 
How to keep my papaya from growing too big? Papaya  ,Limit the pot size and don't cut the top because new leaves are formed there. 
How to take care of papaya? Papaya  ,Fertilizer  
How to tell Papaya plant is male or female? Papaya  ,Wait for flowers to appear 
"Papaya fruit grew large at first, but after 2 years, fruits grow smaller. Papaya Fruits becoming smaller ",To change/remedy the soil by adding fertiliser. 
Papaya leaf turning yellow Papaya Yellowing ,Water/fertilize .Monitor 
Papaya leaves keep dropping. Papaya Leaf dropping ,Put too much coffee powder recently. Use sparingly. 
Papaya leaves turning yellow and dropping Papaya Yellowing/dropping leaves ,"Locate the plant at a sufficient sunlight, water and increase nitrogen "
Papaya not flowering and fruiting Papaya Not flowering/fruiting ,Consider planting dwarf papaya 
Papaya not fruiting  Papaya Not fruiting ,Look for hermaphrodite papaya. 
Papaya not growing well. Papaya Not growing well ,Might be still young 
Papaya ring spot  Papaya Ring spots ,Disease on seeds. Replant 
Papaya shoots died Papaya Dying flower buds ,"Fertile soil, well drained, needs lot s of light, water and fertilizer "
Papaya toppled. By afternoon Papaya toppled ,Need to acclimatise and slowly bring to full sun 
Papaya tree suddenly wilted and bent over Papaya Wilted plant root rot,Root rot. 
Propagation - How to grow Papaya from seed? Papaya  , 
"Small fruit of papaya, only one affected, rest of bunch healthy Papaya Small fruits; fruit drop ","As complete fertiliser was applied by Enquirer and all fruits are ok, removal of affected fruit was advised "
The amount of water given? Papaya  ,Continue to water the plants regularly and use well drained soil. 
White spots on papaya Papaya White spots on fruits ,"potential fungal, shared fungicide list "
Why are my papaya leaves discoloured? Papaya Discoloured leaves ,Could have a nutrient deficiency. Apply a slow release fertiliser. 
Why are my papaya plants are all male? Papaya  ,Papaya grown from seed can be male or female. Buy golden papaya seed from nurseries. 
Why are the peholes different colour ? Papaya  ,Genetic variaton.8mos to bear fruit. Must be planted in ground to get fruit. 
Why are there brown spots on my papaya fruit? Papaya Brown spots ,Harvest the fruit earlier. Golden papaya should be harvested when it just begins to turn a little orange. Ripen the fruit indoors by placing it in a paper bag with a ripe banana. Wrap fruits in newspaper. 
Why is my papaya tree dying? Papaya Necrosis (dying) ,Replant the papaya tree in a different location 
Why my papaya not bearing fruit? Papaya Not fruiting ,Green papaya usually need male and female plants.  
How to improve the plant health?  Papaya   ,To remove the fruit and fertilize the papaya tress to boost the plant health.  
How to make papaya fruit bigger? Papaya   ,Apply fertilizer 
What to do when germinated from seed and only have male flowers? Papaya   ,Get stock with female flowers. 
Why my papaya died after transplanting? Papaya  Necrosis (dying) ,Putting too much soil at the base 
Why my papaya don't fruit? Papaya  Not fruiting ,Buy bisexual papaya tree 
 Papaya  No seeds in fruits  ,Maybe irrelevant.  
 Papaya  Not fruiting ,"Need bigger pot , more sun and fertilizer.  "
Golden papaya not fruiting Papaya (Golden) Not fruiting ,Advise to give the plant fertilizer to plant potassium and trace elements. 
"Golden papaya sunlight , soil, water requirements . Papaya (Golden)  ",Full direct sunlight compost mix  
Is Golden Papaya a hermophrodite (have both male and female reproductive organs)? Papaya (Golden)  , 
Produce very small fruits and fruits always drop off. Papaya (Golden) Small fruits; fruit drop ,Lack of some micronutrients? 
Why does the golden papaya stay on the plant without rotting?   Papaya (Golden)  ,Golden Papaya fruit takes longer to mature than normal cultivars. 
Why my yellow papaya died? Papaya (Golden) Necrosis (dying) ,"Might have overwatered, not enough sunlight or transplant on the ground asap after purchase. "
How to treat yellow papaya that got attack by Mealybug  Papaya (Golden)  Whitish furry creature Mealybug ,Use organic pesticide such as neem spray  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Stem rot  Papaya (Golden)  Dying trunk and witherling leaves Stem rot fungus,Stem rot is causing browing of the trunk and yellowing of leaves due to waterlogged/ high temperature soil. Plant in the mounds or raised bed. Do not plant on the same spot as the fungi survive in the soil and wait for right condition. Copper fungicide (after application and during fruiting) 
How to get fruits for papaya and cempedak Papaya; Cempedak Not fruiting ,Use fertiliser high in potassium (K) to induce flowering 
Why is the plant still so small after germinating? Parsley  , 
Can you grow parsley in Singapore? Parsley   ,Need light shade cloth  
 Parsley  Yellowing leaves ,Put more fertilizer and more sunlight.  
Plant ID Passiflora coccilea  , 
How long does passion fruit can last? Passion fruit  ,A few years 
Not flowering for years Passion fruit Not flowering ,Place under full sun and apply balanced fertilizer high in potassium (K) to induce flowering; or could be lack of pollinator.  
Passion fruit flowering but not fruiting  Passion fruit Not fruiting ,No pollinations. Hand pollinate 
Passion fruit from urban not fruiting? Passion fruit Not fruiting ,Possibly pollinator absent 
Passion fruit planted in pot doesn't flower Passion fruit Not flowering ,Place under full sun and apply balanced fertilizer high in potassium (K) to induce flowering 
Passionfruit not flowering  Passion fruit Not flowering ,"vine is only 3 months old, may not have fully mature. Can slowly apply PK fertiliser  "
Propagation - Passion fruit propagation Passion fruit  ,Seed or cuttings 
 Passion fruit  Not fruiting ,Plant is too young 
Passion fruit not growing well in waterlogged area Passionfruit Not growing well ,Grow water loving plants instead. Raise the planter to abate waterlogging condition 
What is my passion fruit not bearing any fruits? Passionfruit Not fruiting ,Fertilizer high in phosphorus  
 Passionfruit Not fruiting ,"First time flowering, normal for the fruits to abort the first time "
Tip of leaves turn brown Peace Lily Browning leaf margin ,Water more frequently 
Pearl grass die in patches Pearl grass Dying patch ,Dog pee could cause the patches. Plant back 
Plant ID Pereskia bleo  ,Need full sun 
Periwinkle plant is not growing. Yellowing at the old leaves. Periwinkle Yellowing old leaves ,Nutrient deficiency 
Identify germinated seeds Persimmons  ,Persimmon seeds 
Why is my plant? Petraeoritex  ,Petraeoritex 
What media for Petunia? How to use compost? Petunia  ,"Mix 1:1:1 Compost ,potting soil, sand. "
Phalaenopsis repotting Phalaenopsis  ,Plant in charcoal 
Philodendron has dried leaves Philodendron Drying leaves ,Too much sun/ wind 
philodendron turning yellow Philodendron Yellowing ,"check roots, if rot, remove rotten parts, repot with new soil of better drainage "
How to maintain a Pilea plant? Pilea  ,Increase watering   
Pine tree declining Pine Tree Declining vigour ,"Construction, Singapore climate not suitable .Root rot. "
Cultivation - How to grow pineapple Pineapple  ,"Full sun, moderate - little water, big pot or grow in soil.  "
Pineapple grown from crown not growing Pineapple (grown from crown) Not growing ,Some pineapple species takes some time to grow especially esp. those that comes from crown 
Plant ID Piper betle  ,Piper betle 
Is it ok for the pitcher plant to turn brown? Pitcher plant (Nepenthes) Browning leaves ,It is normal 
Pitcher plants not growing Pitchers  Pitcher plant (Nepenthes) No pitchers ,Do not use fertilizer. 
Why it produces less pitchers after a period of time? Pitcher plant (Nepenthes) Less pitchers ,"Becomes lazy if fertilize regularly. Grow in poor conditions, so need well watering. "
Why nepenthes not growing pitcher? Pitcher plant (Nepenthes) No pitchers ,"Not ideal to put under low humidity area, toilet. "
Platycerium vechii (Australian Stag horn fern ) is dropping leaf one by one.  Platycerium vechii Leaf dropping ,"Can grow in Singapore. Mimic natural habitat - light condition, humidity, etc. "
Propagation - Plumbago propagation Plumbago  ,"Cover it to keep humidity, stem cutting  "
frangipani has yellow spots Plumeria (Frangipani) yellow spots Fungus (Rust),"rust, remove affected leaves, remove the whole tree if too many Fungicide. Fertiliser with high in potassium (K)"
Frangipani leaves with black spots Plumeria (Frangipani) Black spots on leaves Fungus (Rust),Likely rust; remove leaves and spray with fungicide for rust Fungicide. Fertiliser with high in potassium (K)
Frangipani rust Plumeria (Frangipani)  Fungus (Rust),Compost Fungicide. Fertiliser with high in potassium (K)
Frangipani with rust. Plumeria (Frangipani)  Fungus (Rust),Spray with fungicide Fungicide. Fertiliser with high in potassium (K)
How to remove rust on Frangipani  Plumeria (Frangipani)  Fungus (Rust),Remove all the leaves and spray with fungicide Fungicide. Fertiliser with high in potassium (K)
"I removed the leaves, but rust keeps coming back Plumeria (Frangipani) Brown spots on leaves Fungus (Rust)",Remove leaves and spray with fungicide for rust Fungicide. Fertiliser with high in potassium (K)
Plumeria has rust  Plumeria (Frangipani) Orange spots on leaves Fungus (Rust),"If it's small plant, apply fungicide. Proper sanitation is vital to control the spread of rust fungi. 
To minimise the spread of rust fungi, remove affected leaves, clean up and dispose all infected leaves immediately. Improve the air circulation around the tree by minimising any plants growing underneath it. Putting compost may not be a good idea as it retains moisture and creates conducive environment for rust fungi to grow and spread.
You may also wish to apply fertiliser which is high in potassium (K). Potassium is one of the main nutrients needed by plants which increases resistance to plant disease. 
Based on observation, there are several Plumeria species and hybrids which are more resistant to rust fungi, such as Plumeria stenopetala, P. pudica and their hybrids. Fungicide. Fertiliser with high in potassium (K)"
Yellow spots on leaves underside of frangipani Plumeria (Frangipani) Yellow spots on leaves Fungus (Rust),Spray fungicide Fungicide. Fertiliser with high in potassium (K)
Frangipani cut to shape  Plumeria (Frangipani)  ,Cut before the knot 
Frangipani has yellow leaves Plumeria (Frangipani) Yellowing leaves ,Balance fertilizer 
Frangipani not flowering  Plumeria (Frangipani) Not flowering ,"increase pot size, condition soil to be more well drained by adding compost, apply fertiliser "
Plumeria not flowering Plumeria (Frangipani) Not flowering ,Place under full sun and apply balanced fertilizer high in potassium (K) to induce flowering 
Propagation - Frangipani propagation enquiries Plumeria (Frangipani)   ,Advised to make a clean cut on snapped pot of tree. Can cut a stalk 30-50cm and put into soil. 
Leaf tips are drying in Pomegranate Pomegranage Leaf tip burn ,Too much fertilisers were applied. Stop all fertilising and water the plant regularly. Prune away all dried parts.  
Mealybug on pomegranate plant  Pomegranate White lumps Mealybug,Remove infected parts by cutting off and spray summer oil. Could be due to too much water. Water moderately. White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Black things at stem; brown bugs on the flowers Pomegranate  Scale,Brown bugs could be scales Horticultural oil/white oil
Mealy bugs on pomegranate Pomegranate  ,Spray neem oil directly on bugs. Garlic and dried chilli 
My pomegranate plant is very leggy Pomegranate Elongated stem ,Prune bark and let the plant rejuvenate. 
Why did it not grow well? Pomegranate Not growing well  ,Locate the plant at sunny area . 
 Pomegranate Not flowering ,"Might be too young , suggested to apply fertilizer. "
Pomelo leaves curl and little growth Pomelo Curling leaves ,Increase sunlight 
Plant ID Pometia pinnata  , 
"Pony tail palm shriveled and die off  Pony tail palm Shriveled, die off ",Root rot due to overwatering. 
 Portulaca Whitish furry creature Mealybug,"Neem oil, dilute dish wash detergent White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)"
"Portulaca not growing well and stems dried up Portulaca Not growing well, Dried stem ","Increase lighting, remove dead tissue "
 Portulaca Do not grow well in rainy weather. ,Prune once every month. The more you prune the more it will spread. Need well drained soil. 
 Portulaca  Not growing well ,Locate the plant at sunny area. Water less frequently. 
Why is the fruit of Pouteria caimito different from what I see online? Pouteria caimito  ,Could be different variety. Artificially bred to have different characteristic. 
Powdery Mildew Powdery Mildew  Fungus (Powdery Mildew) ,Remove infected leave. Water at the base instead of the leave. Fungicide/ milk water/ neem
Plant ID Pseudo pollen  , 
Guava not flowering Guava (Psidium guajava) Not flowering ,increase fertiliser and sunlight by pruning neighbouring trees.  
"All the pumpkin flowers don't open. Leaves turn brown. Pumpkin Flowers don't bloom Nutrient deficiency, Bacterial disease",Possible nutrient deficiency. Apply NPK fertiliser. Need to see photo. Possibly bacterial disease. 
Pumpkin not flowering although already 3 months old Pumpkin Not flowering ,"Apply ferilizer high in potassium (K). Example, ash, compost "
Trouble getting pumpkin Pumpkin   ,Try hand pollination  
Quisqualis indica is not flowering  Quisqualis Not flowering ,Provide balance fertilizer 
 Rain tree Necrosis (dying) ,Death cause by temperature/ Acclimatize slowly 
When Rangoon plant roots growing out Rangoon  ,Change into a bigger pot 
Cultivation - How to grow reindeer moss? Reindeer moss  ,Spray 
Religiosa flower has scale insect Religiosa  Scale ,Use white summer oil or neem oil Systemic pesticide; Horticultural oil/white oil
Ribena plant care Ribena  ,Too much water. Decrease water  
Yellow leaves Rocket Yellowing leaves , 
 Rocket Yellowing leaves ,Follow the concentration ratio instructed by manufacturer 
"How to get rid of aphids and thrips? Rose Curling leaves Aphid, Thrip","Spray neem oil ,dish wash detergent  "
Cultivation - How to grow? Rose  ,Regular tipping flowers 
Leaves turn yellow then black spots; some leaves turn yellow with dark veins Rose Yellowing leaves with  black spots , 
Cultivation - Rose  Rose  ,"Add fertilizer(P,K) "
Rose black and spots curl Rose Black spots/curling leaves ,"Remove, spray "
Roses are not blooming well Rose Not flowering ,"Add fertilizer, do not add too much water. "
Why does Rose bud dies? Rose Flower buds dying ,May be due to plant being from a sub-tropical climate or not enough potassium. 
Why is my rose turning yellow and the stems are rotting? Rose yellowing leaves and stem turning black ,"Grow local varieties of rose. Indoor conditions probably don't provide enough light for the plant, so place in a sunnier spot, ideally outdoors. Remove diseased portions. "
 Rose Yellowing brownish spots ,could be due to virus attack? 
 Rose  ,The recommended growth condition 
Rose with yellow spots on leaves Rose  Yellow spots on leaves ,Missing trace elements. Do not spray at night  
 Rose  Blackened leaves , 
 Rose  Leaves with holes  ,"Apply neem oil , garlic spray (start with low dosage)  "
Plant ID  Rose (Cultivar)  , 
Rose Apple drop before maturity Rose Apple Fruit dropping ,Control watering; can't water too much; well draining medium 
"Roselle with Mealybug and scale Roselle  Mealybug, Scale ",Remove infected parts by cutting off and spray summer oil.  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
"Roselle plant grow weak and has circular things on the stem. Roselle Weak,circular things on stem Scale",Scale insect problem. 
Vegetable bottom leaf becomes yellow. Roselle Yellowing leaves ,Normal leaf dying .Not viable kind. Might be overwater/underwater. 
"Black aphids, scale insect on rosemary Rosemary  Aphid, Scale ","To spray detergent on aphids, white summer oil on rosemary. White summer oil"
Cultivation - Does rosemary require well drainage soil? Rosemary  ,Yes. Rosemary do not like humidity. Use a loose soil media (3 parts sand and 1 part compost) / place under rain shade with windy conditions and lots of sunlight. 
Cultivation - How to grow? Rosemary  ,"Rosemary do not like humidity. Use a loose soil media, i.e. soilless potting mix with perlite or volcanic ash or sandy base media / place under rain shade with windy conditions and lots of sunlight. "
How to root a stem cutting of rosemary? Rosemary  ,Cut stem from the shoots; just below a node. Recut tip and remove bottom leaves. Dip stem in water until roots form. 
"Keep dying, put at shady patio, only spraying.  Rosemary  ","Recommend to place at full sun and water around the base regularly, not spray. "
Propagation - How to propagate rosemary?  Rosemary  ,By Stem cutting. Cut stem from the shoots; just below a node. Recut tip and remove bottom leaves. Dip stem in water until roots form. 
Rosemary curling up and dying  Rosemary Necrosis (dying) ,Insufficient water 
Rosemary growing from seeds  Rosemary  ,Suggest grow from fruit seed/whole plant/marketing 
Rosemary yellowing Rosemary Yellowing leaves ,Too much water 
Why is my rosemary not growing well/did not survive? Rosemary Not growing well ,"Not suitable for Singapore climate as Rosemary does not like humidity. Use a loose soil media, i.e. soilless potting mix with perlite or volcanic ash or sandy base media / place under rain shade with windy conditions and lots of sunlight. Do not overwater and let the plant dry out before watering again. "
My rosemary plant is showing nutrients deficiency. What is the nutrients that I need to apply? Rosemary  Nutrient deficiency ,Maybe not enough water. The fertilizer that is high in nitrogen. 3 parts sand and 1 part compost.  
 Rosemary  Drying up ,Water more.  
 Rosemary   ,One side is dry 
rosemary is yellowing and brown Salvia offinalis Yellowing leaves ,too much water. Rosemary don’t really like a lot of water. Dry soil in between watering.  
rosemary yellow.  Salvia offinalis Yellowing leaves ,not enough light.  
Sanseviera with brown spots. Sanseviera Brown spots on leaves ,Fungal spots likely. Try to isolate from other plants. 
Brown spots on the leaves Sansevieria Ring pattern brown spots on leaves Fungus,"Avoid wetting the leaves, water when the soil becomes slightly dry "
Cultivation - Sansvieria. How to grow and fertilize? Sansevieria  ,"Need sun, well drained soil, balance fertilizer/forking in compost  "
Why my Sansevieria plant rot? Sansevieria Rotten ,"Reduce water, remove the rotten leaves "
Plant ID Sauropus spatulifolius  , 
Scenecio plant is not doing well. Leaf is dropping one by one Scenecio 'Dustin Miller' Weakening; Leaf dropping ,"humidity, high temperature and semi shade are not suitable for the plant, and therefore causing stress.  "
Scheflera no leaves. Scheflera No leaves ,Scheflera not enough soil. 
Why did scindapsus leaves curling up? Scindapsus Curling leaves ,Not enough water. Some species naturally curls a bit. 
"Insects on Palms Sealing Wax Palm  Bagworm, Borer",Borers and Bagworms Apply systemic pesticide for borers and apply contact pesticide for bagworms
Sedum with browning stem Sedum Browning stems ,"Turn back LED light, office space away from window -too dark. "
Selaginella care Selaginella  ,Increase humidity recommended to put terrarium. 
"Plant ID Senecio ampliflorus, Ohwia caudata  ",Senecio ampliflorus and Ohwia caudata 
Plant ID Senna alatus  ,Senna alatus  
The sesame plant grow from seed or cutting? Sesame  ,Seed 
How to train Pereskia bleo (Seven Star Needle) Seven Star Needle   ,Purchase staking from nursery to train the plant. 
Sissoo spinach  Sissoo spinach  ,Alternanthera sissoo 
What is special about Solanum stramonifolium? Solanum stramonifolium  ,"It's an edible, juicy fruit with acidic flavour from South America which is eaten cooked. It is popular in Thailand where it is cooked in curry. You need to remove the hairy covering before consuming, such as by blanching and peeling. "
Cultivation - Advise on growing soursop Soursop   ,"Soursop grow slowly in pot, takes 7-8 years to fruit if planted from seed. If planted from seedling, it may take 2-3 years to fruit. Need pollinators - beetles. "
Soursop are flowering but not fruiting Soursop  Not fruiting ,Might be due to no pollinators - beetles 
Soursop is dying  Soursop  Necrosis (dying) ,Too much fertilizer. Improve soil 
Soursop pollination Soursop  Not fruiting ,Need pollinators - beetles 
Why are my flowers on my soursop falling off? Soursop  Flower dropping ,Lack of pollination. Diversion of resources to fruits. 
Why does my soursop fruit have whitish fungal fluff on it and how to solve it? Soursop  whitish fungal fluff on fruit ,Wrap fruit in news paper and replace wrapping when it gets wet. Do not recommend application of fungicide on an edible plant. 
 Soybean Chewd leaves Chewing insect,Apply neem oil  Neem oil
How to water Spanish Moss? Spanish Moss  ,"Use distilled or rainwater. Alternatively, keep tap water over 2 nights to let chlorine to evaporate. Need to mist as much as possible whenever it is dry. "
Spanish moss dying Spanish Moss Necrosis (dying) ,More water 
Why did it kept dying? Spanish Moss  ,"Spray/mist the plant regularly, indirect sunlight. "
Spearmint affected leaves yellow spots. Spearmint Yellow spots on leaves Thrip? Aphid?,Need more photos for confirming pest on spearmint. 
Plant ID Spider Plant  ,Fertilize 
How to prevent mosquito breeding in water? Spider plant   ,Use water bottle to plant  
Spider plant leave tip burn and orange spot . Spider plant  Leaf tip burn with orange spots ,Could be cultural issues. Correct watering. 
Spider plant not growing well. Spider plant  Not growing well ,Water at the base. To avoid rotting. 
Suspect area too sunny & windy? Spider plant   ,Recommend to shift the plant  
spider plant has brown or yellow tips Spider Plant (Chlorophytum comosum) Browning leaf tip ,too much water. Reduce watering since plant is located indoor and not exposed to much sun 
Spinach growing. Spinach  ,Transplanting about 7-8 cm tall. 
White spots on spinach plant Spinach White spots ,Fungal spots. Cut away leaves that are with white spots. Water at base only. 
Cultivation - How to grow spring onion? Spring Onion  ,Plant care tips 
 Sprout   ,To let the water shoot grow out.  
 Staghorn fern  ,Can propagate by division 
Star fruit has black spots and has worms inside. Starfruit Black spots on fruits Larvae,Worms are caused by adult insects laying eggs during the fruit ripening. Cover the fruit with plastic/newspaper during riping.  
Starfruit leaf drooping after transplanted Starfruit Leaf drooping ,It takes time for a big tree to recover from transplanted 
"Starfruit used to be sweet, but after adding fish emulsion the fruit became sour.  Starfruit Tastes sourer ","stop application of fish emulsion, and apply normal NPK fertiliser.  Fish emulsion"
How to kill aphids? Stevia  Aphid,Spray organic Diluted soap water
Where is the best way to locate a plant? Stevia  ,Avoid putting under a big tree 
Edge of Strawberry leaves turn brown Strawberry Browning leaf margin , 
 Strawberry  Plant burn ,Do not put at a sunny place  
Cultivation - How to grow succulent? Succulent  ,Full sun and a little water 
Rotten succulent  Succulent  ,Overwatering or lack of water. 
Succulent  Succulent  ,"Water every 3-4 days, well drained soil.  "
Succulent plants elongate. Succulent  ,Not enough water. 
Teddy sunflower seeds don't grow well in self-watering system Sunflower Wilting seedlings Fungus (Dumping off),Soil may be too moist for the plant or wet soil encourages fungal growth that attacks the seedling 
Alstonia garden sunflower. Sunflower  ,Fertilizer dosage 
Cultivation - How to grow and make it flower.  Sunflower  ,Can add NPK that has higher P and K proportion.  
Sunflower wilting Sunflower Wilting ,Basic care. More watering 
 Sunflower  Very skinny stem  ,Put Fertilizer  
Mealybug on sweet potato Sweet potato Whitish furry creature Mealybug,Remove infected parts by cutting off and spray summer oil.  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
Cultivation - How to grow sweet potato? Sweet potato  , 
Vegetable bottom leaf becomes yellow. Sweet potato Yellowing leaves ,Normal leaf dying .Not viable kind. Might be overwater/underwater. 
How to pot up overgrown Syngonium in container? Syngonium  , 
Which plant is the miracle berry? Synsepalum dulcificum   ,Synsepalum dulcificum  
Plant palette for screening/hedge Syzygium myrtifolium  ,Syzygium myrtifolium 
 Tacca Drying/ dropping leaves ,Transplanting stock. 
Is Tadernaemontana dibaricata easy to grow? Tadernaemontana dibaricata  ,"Need sunlight. Suggested Tarenna fragrans, give balance fertilizer. "
Use food as fertilizer. But it attracts ants. Tecoma  Ant,To bury the food fertiliser with soil. 
Plant ID Tecoma  , 
How to plant a seed? Tecoma stans  ,Tecoma stans-Use seed starter mix. Cover within layer of soil. 
Where to get tetrastigma Tetrastigma  ,Try check if commercial nurseries can get on behalf 
Leaves started to turn yellow and drop after  a few month after repotting Thai Basil (Ocimum basilicum) Yellowing leaves , 
Thai jambu trees are very healthy but not flowering  and fruiting. Thai jambu Not flowering/fruiting ,Apply balanced fertilizer high in potassium (K) to induce flowering 
Why is one of the side of the plant burned? Thuja  ,Plant did not get full sun. Too much fertilizer. 
Cultivation - How to grow? Thyme  ,"Full sun 4-5 hours. 1 part compost, 1 part leca, 1 part burn earth "
How to revive Thyme? Thyme  ,"Need to observe, put under bright indirect sunlight and water moderately. Do not fertilize. "
"Old stems turning woody, drying out. Leaves darker then the other, the Thyme with darker leaves might receive less sun thus, darker colouration. Thyme Stem die back ", 
Why does it die after a few days? Thyme Necrosis (dying) ,Not suitable in tropical area. 
Why does my thyme taste got fainted? Thyme Faint taste , 
Plant ID  Tibouchina granulosa  , 
How to care for airplant Tillandsia   ,"well ventilated place, misting in the morning "
Can I plant titan arum? Titan Arum (Amorphophallus titanum)  ,Yes 
"How to get rid of leaf minor and Mealybug on tomato? Tomato Trailing on leaf Leaf miner, Mealybug","Summer oil, improve nutrients, control growing conditions(Hydroponics) Neem oil / white oil; yellow sticky traps"
"Tomato leaves has leaf miner and spider mites. Tomato Trailing on leaf Leaf miner, Spider mite",Cut away affected area. Use neem oil to disrupt life cycle of leaf miner and control spider mites Neem oil / white oil; yellow sticky traps
My tomato plant is infested with white particle  Tomato Whitish furry creature Mealybug,Spray diluted dish wash  White summer oil/ Neem Oil/ DIY diluted soap water (1 table spoon of soap mixed with 1 L of water)
 Tomato Yellow spots on leaves  Mealybug & Fungal desease                                                                                                                                                                              ,Harvest or plant from seed. 
root-knot nematodes  Tomato Galling Root-knot nematodes,"To disposed infested soil and use clean soil and planting materials. If reusing soil, ensure treatment, eg drenching with 2% soap suspension and drying (solarization) under the sun with continous ploughing.  "
white flying insects Tomato  Whitefly,2% diswashing soap DIY Chili and soap mix
How to prevent tomato fruits from dropping? Tomato Fruit dropping ,Feed with fertilizer 
Lots of flowers but not fruit. Tomato Not fruiting ,Possible not enough pollinators 
Problem with tomato plant? Tomato   ,Throw away contaminated soil. 
Tomato fruit is dropping  Tomato Fruit dropping ,Fertilizer  
Tomato leaves has brown patches. Tomato Brown patches ,Might be infected by sap/sucking insect. Spray detergent. 
Tomato leaves keep dropping. Tomato Leaf dropping ,Place plant under full sun 
Tomato leaves yellowing and browning Tomato Yellowing/browning leaves ,The soil is wet. Might be too much water. Keep the plant uner full sun. 
Tomato looks like it is dying  Tomato Necrosis (dying) ,Lack of water 
Tomato not fruiting Tomato Not fruiting ,No pollinations. Hand pollinate 
Tomato plant care  Tomato  ,Increase fertilizing in soil and watering. 
Tomato plant flowering but not fruiting Tomato Not fruiting ,No pollinations. Hand pollinate 
Tomato plant is not flowering /fruiting Tomato Not flowering/fruiting ,Apply balanced fertilizer high in potassium (K) to induce flowering 
Tomato pollination Tomato  ,Use plant brush to pollinate. 
What can we do if the flowers drop off? Tomato Flower dropping ,Plant is in the corridor not enough water. Feel if the soil is wet or dry. 
What fertilisers for tomatoes ? Tomato  ,"Chicken dung, seaweed emulsion, bone meal "
Why are my tomato plant are not fruiting after manual pollination? Tomato Not fruiting ,Keep it healthy. 
 Tomato Seed not sprouting ,Do not over water the plant. 
 Tomato and Pepper Yellowing leaves ,Suggested to buy adult plant from nurseries.  
Propagation - How to propagate Torch ginger? Torch ginger  ,Rhizome 
Died after transplanting. Torrenia Necrosis (dying) ,"Place in semi- shade , use soilless potting mix (not garden soil) , protect from wind.  "
